Timestamp,V_P6V,I_P6V,R_P6V,P_P6V,V_P25V,I_P25V,R_P25V,P_P25V
2026-03-24 01:03:59,1.499929,0.004392,341.5138888888889,0.006587688168000001,1.501248,0.001674,896.8028673835125,0.002513089152
2026-03-24 01:04:01,1.499929,0.004394,341.3584433318161,0.006590688026000001,1.501248,0.001672,897.8755980861243,0.002510086656
2026-03-24 01:04:03,1.499929,0.00439,341.66947608200456,0.00658468831,1.501248,0.00167,898.9508982035927,0.00250708416
2026-03-24 01:04:05,1.499929,0.004388,341.82520510483135,0.006581688452000001,1.501248,0.001668,900.0287769784172,0.002504081664
2026-03-24 01:04:07,1.499929,0.004385,342.05906499429875,0.006577188665000001,1.501248,0.001665,901.6504504504504,0.00249957792
2026-03-24 01:04:10,1.499929,0.004387,341.90312286300434,0.006580188523000001,1.501248,0.001662,903.27797833935,0.002495074176
2026-03-24 01:04:12,1.499929,0.004383,342.21514944102216,0.006574188807,1.501248,0.001659,904.9113924050632,0.002490570432
2026-03-24 01:04:14,1.499929,0.004387,341.90312286300434,0.006580188523000001,1.501248,0.001656,906.5507246376811,0.0024860666879999997
2026-03-24 01:04:16,1.499929,0.004381,342.37137639808265,0.0065711889490000005,1.501248,0.001655,907.0984894259818,0.0024845654399999998
2026-03-24 01:04:18,1.499929,0.004379,342.52774606074445,0.006568189091,1.501248,0.001652,908.7457627118644,0.002480061696
2026-03-24 01:04:20,1.499929,0.004376,342.7625685557587,0.006563689304,1.501248,0.00165,909.8472727272726,0.0024770592
2026-03-24 01:04:22,1.499929,0.004378,342.6059844677935,0.006566689162,1.501248,0.001645,912.6127659574468,0.00246955296
2026-03-24 01:04:24,1.499929,0.004374,342.9192958390489,0.006560689446000001,1.501248,0.001645,912.6127659574468,0.00246955296
2026-03-24 01:04:26,1.499929,0.004378,342.6059844677935,0.006566689162,1.501248,0.00164,915.3951219512195,0.00246204672
2026-03-24 01:04:28,1.499929,0.004372,343.0761665141812,0.0065576895880000005,1.501248,0.001637,917.0726939523518,0.002457542976
2026-03-24 01:04:30,1.499929,0.004374,342.9192958390489,0.006560689446000001,1.501248,0.001636,917.6332518337407,0.002456041728
2026-03-24 01:04:33,1.499929,0.004369,343.31174181734957,0.006553189801,1.501248,0.001633,919.3190447030006,0.0024515379839999997
2026-03-24 01:04:35,1.499929,0.004371,343.1546556851979,0.006556189659,1.501248,0.001629,921.5764272559852,0.0024455329919999998
2026-03-24 01:04:37,1.499929,0.004365,343.62634593356245,0.006547190085000001,1.501248,0.001627,922.7092808850645,0.002442530496
2026-03-24 01:04:39,1.499929,0.004367,343.4689718342111,0.006550189943000001,1.501248,0.001624,924.4137931034483,0.002438026752
2026-03-24 01:04:41,1.499929,0.004364,343.705087076077,0.006545690156,1.500413,0.001621,925.6095003084515,0.002432169473
